county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Calaveras,27/05/2021,0,0,0,33,0,0,6
Del Norte,20/01/2021,1,0,1,51,1,0,1
Amador,10/11/2020,3,0,3,51,0,0,3
San Benito,14/11/2020,1,0,1,25,1,0,2
San Benito,10/10/2020,0,0,0,25,0,0,1
Napa,02/09/2020,1,0,1,351,1,0,23
Imperial,14/10/2020,34,0,34,259,14,0,2
El Dorado,24/07/2020,1,0,1,149,1,2,14
San Joaquin,20/09/2021,208,9,217,968,72,0,5
Sacramento,31/03/2021,87,14,101,2592,23,4,83
San Benito,25/07/2021,2,0,2,25,1,0,0
Mendocino,18/09/2021,26,1,27,92,7,0,2
Santa Barbara,07/09/2021,70,1,71,614,19,1,35
San Diego,30/03/2021,174,10,184,6446,60,4,280
Marin,14/09/2020,10,7,17,326,3,1,9
Humboldt,26/09/2020,3,0,3,277,2,0,2
Riverside,06/04/2021,106,27,133,3225,20,2,84
Trinity,27/09/2021,0,0,0,25,0,0,0
Tulare,13/08/2020,86,4,90,682,8,1,13
Santa Clara,18/11/2020,167,17,184,3059,48,0,53
Shasta,11/06/2020,2,0,2,667,0,0,8
Contra Costa,11/01/2021,266,13,279,1596,70,2,31
Nevada,24/11/2020,12,1,13,133,3,0,4
Yuba,11/10/2020,10,0,10,265,2,0,12
Del Norte,08/01/2021,2,0,2,51,0,0,3
Kern,01/02/2021,287,5,292,1139,75,0,33
San Mateo,20/10/2020,20,7,27,661,7,2,33
Lake,11/05/2020,0,0,0,110,0,0,5
Glenn,24/02/2021,0,0,0,47,0,0,0
Mariposa,18/05/2021,0,0,0,14,0,0,0
Los Angeles,03/07/2020,1947,696,2643,23965,549,101,1189
Marin,20/03/2021,11,6,17,327,5,0,6
San Joaquin,26/01/2021,269,10,279,931,76,0,8
Yolo,02/07/2021,4,0,4,122,1,0,5
Sutter,18/12/2020,0,0,0,14,0,0,0
Yuba,22/02/2021,22,0,22,261,6,0,1
Merced,12/05/2020,6,5,11,242,4,1,5
Glenn,05/09/2020,0,0,0,47,0,0,0
Mono,01/07/2020,0,0,0,40,0,0,2
Mariposa,18/12/2020,0,0,0,19,0,0,0
San Mateo,08/09/2020,43,27,70,699,8,4,22
Imperial,13/12/2020,143,0,143,265,31,0,0
Merced,30/07/2020,49,3,52,253,10,1,9
Humboldt,02/08/2020,0,4,4,258,0,1,4
Kern,04/03/2021,127,8,135,1134,40,0,35
Lake,20/02/2021,1,0,1,63,0,0,4
Merced,15/10/2020,11,2,13,271,1,0,10
Tuolumne,15/06/2021,0,0,0,72,0,0,2
Sonoma,04/07/2021,33,1,34,654,12,0,13
Solano,26/07/2020,48,16,64,567,18,1,8
San Benito,22/05/2020,1,0,1,25,0,0,1
Modoc,20/06/2021,1,0,1,12,0,0,0
Mariposa,18/06/2021,0,0,0,14,0,0,0
Alameda,16/03/2021,100,25,125,2501,30,3,106
Solano,08/12/2020,74,14,88,591,18,0,17
Yolo,05/05/2021,4,0,4,126,0,0,6
Nevada,16/07/2020,0,1,1,100,0,0,1
Merced,26/12/2020,51,0,51,271,12,0,7
Fresno,21/05/2021,63,6,69,1500,11,0,10
Santa Barbara,26/04/2021,11,0,11,603,1,0,41
Imperial,11/07/2021,7,0,7,236,0,0,6
Yolo,14/06/2020,0,0,0,186,1,1,2
Santa Cruz,20/01/2021,69,3,72,372,9,0,0
El Dorado,12/07/2020,3,0,3,235,3,0,5
San Benito,14/12/2020,11,0,11,25,2,0,0
Trinity,25/02/2021,0,0,0,25,0,0,0
Glenn,05/12/2020,2,4,6,47,0,0,0
Mendocino,31/10/2020,1,0,1,150,1,0,4
Napa,02/02/2021,16,0,16,213,3,0,3
Tuolumne,06/05/2020,0,0,0,151,0,0,1
Inyo,20/11/2020,1,0,1,29,1,0,2
Monterey,25/05/2021,7,0,7,716,3,0,28
Butte,01/07/2020,7,2,9,428,1,2,3
Tulare,19/05/2021,18,6,24,668,0,2,17
Nevada,19/10/2020,1,1,2,138,0,1,6
Lake,25/10/2020,2,4,6,65,2,0,1
Amador,09/08/2020,8,1,9,51,3,0,2
Santa Clara,27/09/2020,94,13,107,2882,33,3,106
Sutter,02/08/2021,0,0,0,14,0,0,0
Santa Barbara,25/04/2020,23,12,35,717,16,4,79
Madera,05/09/2021,32,8,40,278,9,0,4
Sonoma,17/03/2021,20,0,20,702,7,0,20
Santa Cruz,15/02/2021,28,0,28,372,8,0,1
Monterey,26/12/2020,180,2,182,717,38,0,12
Siskiyou,11/05/2021,5,0,5,56,1,0,4
Nevada,18/04/2020,4,5,,,1,4,4
Kern,12/05/2020,38,14,52,1729,28,1,72
Trinity,22/04/2021,0,0,0,25,0,0,0
Stanislaus,18/04/2020,14,23,,,5,1,31
Yuba,24/04/2020,0,2,2,445,0,2,10
Los Angeles,24/04/2020,1860,546,2406,20782,600,87,1378
Yolo,30/04/2021,2,0,2,116,0,0,7
Calaveras,08/05/2020,0,0,0,50,0,0,11
Stanislaus,25/08/2021,285,13,298,1301,63,2,11
Kern,30/10/2020,53,5,58,1340,23,1,55
Del Norte,08/12/2020,3,0,3,51,1,0,2
Butte,03/06/2020,4,0,4,448,0,0,22
Modoc,31/07/2020,0,0,0,41,0,0,0
Merced,24/07/2021,20,0,20,271,5,0,14
Glenn,11/01/2021,6,0,6,47,0,0,0
Kings,16/06/2021,8,0,8,110,3,0,0
Mendocino,16/08/2021,26,0,26,87,6,0,3
Sutter,08/04/2021,0,0,0,14,0,0,0
