county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Calaveras,04/05/2021,1,0,1,33,0,0,7
Santa Clara,29/08/2021,236,19,255,3040,75,1,76
Santa Barbara,31/05/2021,6,0,6,603,3,0,44
San Bernardino,11/12/2020,1154,86,1240,4041,247,7,59
San Bernardino,01/01/2021,1676,86,1762,4093,349,1,49
San Diego,05/02/2021,1100,38,1138,6498,328,11,182
Merced,13/06/2020,3,1,4,242,2,0,5
Placer,09/06/2021,30,10,40,789,8,1,20
Ventura,25/01/2021,405,20,425,1224,86,3,25
Tulare,09/10/2020,31,6,37,677,7,0,31
Siskiyou,08/08/2021,6,0,6,55,2,0,4
Modoc,16/01/2021,0,0,0,11,0,0,0
Shasta,08/11/2020,19,1,20,561,3,0,6
San Benito,29/03/2020,1,1,,,1,0,1
Ventura,20/07/2020,92,34,126,1550,28,8,48
Napa,03/10/2020,6,0,6,200,2,0,13
Plumas,30/01/2021,0,0,0,35,0,0,0
San Diego,05/04/2021,182,23,205,6441,52,4,280
Contra Costa,25/10/2020,24,12,36,1451,8,3,35
Stanislaus,02/04/2020,30,43,,,11,7,22
Modoc,13/05/2021,0,0,0,12,0,0,0
Tehama,25/10/2020,6,0,6,59,2,0,1
Monterey,09/03/2021,41,0,41,720,8,0,21
Butte,07/01/2021,84,0,84,451,12,0,7
Sonoma,05/08/2021,61,4,65,690,17,0,19
Tehama,11/03/2021,6,0,6,59,1,0,4
Inyo,12/05/2020,0,0,0,42,0,0,4
Kings,13/09/2020,27,0,27,193,3,0,9
San Diego,31/12/2020,1487,56,1543,6743,381,12,175
Los Angeles,14/02/2021,2964,200,3164,19158,908,40,360
Contra Costa,10/07/2020,83,24,107,1579,24,5,136
Tehama,26/08/2021,15,0,15,59,6,0,1
Alameda,03/06/2021,34,24,58,2493,9,5,110
Inyo,22/06/2021,0,0,0,29,0,0,1
Modoc,24/12/2020,1,0,1,12,0,0,0
Mariposa,04/05/2021,0,0,0,14,0,0,0
Del Norte,20/02/2021,2,4,6,52,0,0,2
Plumas,19/08/2020,0,0,0,35,0,0,0
San Luis Obispo,29/08/2021,50,3,53,447,12,1,11
Kern,18/09/2020,66,4,70,1320,18,0,57
Nevada,10/02/2021,8,0,8,140,1,0,3
Alameda,28/09/2021,135,34,169,2459,43,3,111
Mariposa,21/12/2020,0,0,0,19,0,0,0
San Bernardino,26/06/2021,69,12,81,3531,28,3,172
Nevada,12/04/2021,3,0,3,132,1,0,2
Tehama,08/07/2020,0,0,0,106,0,0,4
San Diego,21/07/2020,401,84,485,6676,149,17,328
San Joaquin,24/02/2021,117,13,130,894,42,3,9
Orange,08/04/2020,153,181,,,49,34,201
Tehama,20/06/2020,0,0,0,106,0,0,2
Monterey,19/06/2021,2,0,2,724,0,0,23
Madera,08/08/2020,46,19,65,274,9,0,4
Butte,08/04/2020,1,15,,,1,7,4
Nevada,01/08/2021,12,0,12,114,1,0,0
Fresno,24/05/2020,66,40,106,2128,19,4,91
Humboldt,07/05/2020,1,5,6,352,0,0,6
Tulare,12/05/2021,14,2,16,662,1,0,24
Tulare,19/09/2021,164,7,171,686,28,0,11
Siskiyou,31/03/2020,0,0,,,0,0,4
Yuba,26/04/2020,0,2,2,445,0,1,10
San Joaquin,20/02/2021,126,25,151,906,45,5,14
Stanislaus,26/07/2021,83,10,93,1305,19,3,39
Del Norte,13/07/2021,0,0,0,53,0,0,1
Imperial,29/01/2021,80,0,80,234,34,0,0
El Dorado,30/07/2021,9,0,9,190,4,0,4
Mendocino,29/06/2020,0,0,0,180,0,0,3
Shasta,21/06/2021,13,0,13,567,2,0,27
Yuba,01/09/2020,13,0,13,265,2,0,10
Mariposa,23/10/2020,0,0,0,19,0,0,0
Glenn,02/08/2020,0,2,2,47,0,0,0
Fresno,05/12/2020,396,24,420,1636,61,3,6
Butte,02/04/2021,7,0,7,451,0,0,15
Butte,14/05/2021,15,0,15,451,2,0,11
San Diego,22/08/2021,645,11,656,6498,156,3,186
Mendocino,14/11/2020,4,0,4,177,0,0,5
Shasta,05/05/2021,10,0,10,567,1,0,19
Sonoma,05/01/2021,101,1,102,595,23,0,18
Los Angeles,08/04/2020,1331,1077,,,532,211,582
Humboldt,21/06/2021,13,0,13,274,4,0,8
Merced,16/12/2020,59,0,59,271,12,0,7
Tehama,06/07/2021,1,0,1,59,0,0,3
Madera,05/09/2020,23,13,36,274,9,0,2
Modoc,03/09/2021,0,0,0,12,0,0,0
Santa Barbara,03/07/2021,11,2,13,603,4,0,34
Butte,10/09/2020,17,0,17,451,4,0,8
San Luis Obispo,20/05/2021,5,0,5,460,0,0,25
Placer,02/09/2020,38,20,58,740,12,2,28
San Joaquin,22/04/2020,29,28,57,632,14,4,25
Santa Cruz,30/06/2020,10,6,16,397,1,0,15
Placer,17/12/2020,184,11,195,751,23,3,21
Shasta,16/09/2020,2,0,2,561,0,0,9
Contra Costa,14/06/2021,26,8,34,1306,7,0,46
Sacramento,11/07/2021,102,19,121,2547,27,2,93
Alameda,24/04/2020,79,63,142,1127,39,10,110
Kern,29/11/2020,161,5,166,1273,37,0,43
Del Norte,02/05/2020,0,0,0,,0,0,4
Marin,12/05/2021,4,3,7,328,1,0,11
San Joaquin,12/08/2020,155,17,172,1015,50,2,27
Calaveras,18/11/2020,1,0,1,33,1,0,4
Placer,11/07/2020,35,26,61,776,6,4,27
Amador,23/12/2020,9,0,9,52,3,0,0
San Joaquin,18/05/2021,38,8,46,880,15,1,13
Lake,27/06/2021,0,0,0,64,0,0,3
Ventura,24/09/2021,75,4,79,1184,16,0,36
San Diego,28/06/2021,65,15,80,6444,20,0,296
Santa Barbara,27/07/2021,20,0,20,603,5,0,32
Tuolumne,29/09/2020,1,0,1,84,0,0,2
Ventura,23/09/2021,76,3,79,1164,17,0,38
Kern,15/06/2020,90,17,107,1742,38,3,78
Del Norte,23/07/2021,0,0,0,54,0,0,1
Placer,14/10/2020,13,14,27,736,2,1,28
Modoc,25/04/2020,0,0,0,12,0,0,
San Joaquin,19/05/2020,7,26,33,1366,2,10,27
Calaveras,15/04/2020,0,0,,,0,0,10
San Benito,29/05/2021,0,0,0,25,0,0,2
Siskiyou,01/11/2020,1,0,1,56,0,0,8
Santa Clara,17/04/2020,140,60,,,71,11,86
Del Norte,27/11/2020,0,0,0,52,0,0,1
Imperial,08/03/2021,13,0,13,234,8,0,3
Yolo,22/03/2021,2,0,2,132,1,0,12
Amador,20/11/2020,3,0,3,51,0,0,4
Orange,09/05/2021,80,11,91,5784,20,2,264
Monterey,03/02/2021,118,2,120,720,27,0,16
Napa,08/09/2021,18,0,18,209,5,0,2
Mendocino,06/10/2020,5,0,5,150,3,0,4
Nevada,11/09/2021,20,0,20,130,7,0,0
Contra Costa,19/01/2021,276,10,286,1348,62,2,21
San Luis Obispo,09/04/2020,2,10,,,2,8,21
Orange,12/11/2020,244,45,289,5916,95,6,193
Santa Clara,16/11/2020,153,9,162,2997,43,1,76
Alameda,18/08/2021,235,26,261,2499,69,3,83
Sutter,15/04/2020,0,0,,,,,
Calaveras,08/06/2021,0,0,0,33,0,0,4
Madera,23/02/2021,35,3,38,278,10,0,7
Contra Costa,15/07/2020,81,36,117,1579,27,10,136
San Joaquin,12/04/2021,50,4,54,878,13,1,8
San Benito,28/10/2020,0,0,0,50,0,0,2
Santa Cruz,21/04/2021,2,0,2,372,0,0,8
Madera,08/09/2020,22,11,33,274,8,0,2
Sonoma,10/03/2021,20,0,20,662,10,0,13
Mono,10/04/2020,0,3,,,0,0,2
Mariposa,31/03/2021,0,0,0,14,0,0,0
Imperial,21/07/2020,89,1,90,298,20,0,8
Lassen,21/05/2020,0,1,1,25,0,0,
El Dorado,28/07/2020,1,0,1,153,1,0,7
San Bernardino,08/10/2020,207,51,258,3869,35,10,158
Mono,27/02/2021,1,0,1,17,0,0,2
Trinity,04/07/2020,0,0,0,54,0,0,
Madera,19/08/2020,27,9,36,274,8,0,5
San Joaquin,30/08/2020,102,14,116,1005,30,1,43
Tuolumne,20/11/2020,8,0,8,84,1,0,2
El Dorado,07/04/2020,16,2,,,0,3,10
Madera,13/07/2021,7,12,19,278,1,0,8
Santa Clara,12/05/2020,55,29,84,3306,24,5,180
Ventura,06/07/2021,18,3,21,1103,5,0,57
Nevada,06/02/2021,9,2,11,129,1,0,4
Orange,09/09/2020,239,70,309,5654,64,12,226
Calaveras,07/02/2021,4,0,4,33,1,0,6
Amador,22/10/2020,1,0,1,51,0,0,6
Shasta,13/07/2020,3,1,4,671,2,0,4
Butte,05/12/2020,57,0,57,451,6,0,9
San Mateo,25/02/2021,54,2,56,697,16,0,17
Mono,28/04/2020,0,0,0,17,0,0,2
Butte,30/01/2021,43,0,43,451,8,0,9
Santa Clara,24/08/2021,253,16,269,3082,71,2,52
Monterey,12/06/2021,3,0,3,724,0,0,24
Humboldt,12/09/2020,2,1,3,277,2,0,1
San Joaquin,29/12/2020,329,12,341,907,83,3,8
Riverside,03/09/2021,661,34,695,3492,140,1,62
Fresno,17/08/2021,310,17,327,1665,56,0,14
Fresno,24/06/2020,93,46,139,2113,22,2,86
Sonoma,26/02/2021,35,1,36,650,12,0,14
Yuba,05/04/2020,1,14,,,1,1,10
Marin,11/09/2021,13,3,16,322,6,0,16
Kern,27/06/2020,142,34,176,1742,42,10,70
Glenn,11/02/2021,0,0,0,47,0,0,0
Napa,25/05/2020,1,0,1,387,1,0,4
Monterey,23/06/2020,21,2,23,824,7,0,88
Orange,24/07/2020,685,91,776,5584,203,17,383
Nevada,22/09/2020,3,2,5,124,0,0,7
Los Angeles,15/04/2021,498,95,593,19098,117,8,665
Napa,08/10/2020,2,0,2,351,2,0,25
San Bernardino,19/07/2021,134,7,141,3570,24,1,146
Imperial,08/10/2020,26,0,26,259,9,0,2
Santa Cruz,09/03/2021,9,1,10,372,2,0,4
Los Angeles,09/12/2020,3624,370,3994,20120,819,29,468
San Francisco,18/05/2021,18,7,25,2142,6,2,85
Madera,15/08/2021,25,9,34,278,6,0,5
Tuolumne,15/07/2020,2,0,2,151,0,0,1
Monterey,14/08/2020,48,2,50,729,17,0,16
Solano,17/07/2020,52,5,57,707,19,0,38
Modoc,01/06/2020,0,0,0,41,0,0,
Amador,22/06/2020,0,0,0,51,0,0,0
Solano,01/04/2021,24,10,34,604,5,0,12
Shasta,15/08/2021,68,0,68,561,14,0,21
Los Angeles,07/01/2021,7966,327,8293,20437,1714,27,305
San Mateo,21/07/2021,17,8,25,719,6,0,12
Sonoma,08/07/2020,24,11,35,862,6,1,50
Glenn,07/09/2021,9,0,9,47,0,0,0
Siskiyou,16/06/2020,0,1,1,65,0,1,4
Placer,20/11/2020,88,21,109,806,9,3,21
Santa Barbara,20/05/2020,23,4,27,717,11,1,60
Alameda,11/12/2020,281,36,317,2553,77,5,63
Sonoma,03/08/2020,41,17,58,480,13,1,7
Ventura,23/03/2021,53,10,63,1151,13,1,41
Merced,01/10/2021,43,1,44,271,10,0,4
Siskiyou,14/11/2020,7,0,7,56,3,0,8
Trinity,30/11/2020,0,0,0,25,0,0,0
Santa Barbara,04/03/2021,53,3,56,603,17,0,29
Contra Costa,20/09/2020,50,26,76,1498,17,5,55
Madera,19/05/2020,0,1,1,528,0,0,23
Merced,09/04/2021,12,0,12,271,2,0,15
Marin,12/07/2021,6,5,11,336,2,0,12
Kern,15/02/2021,228,9,237,1159,53,0,34
Los Angeles,29/08/2020,1043,415,1458,19773,345,44,862
Tehama,05/10/2020,5,0,5,59,0,0,0
Merced,13/05/2021,11,0,11,271,3,0,4
San Francisco,02/03/2021,76,2,78,2113,22,0,92
Yolo,18/07/2021,7,0,7,118,4,0,1
Inyo,11/12/2020,4,1,5,29,1,0,3
San Benito,12/01/2021,19,0,19,25,7,0,0
Marin,10/05/2021,2,2,4,322,1,0,13
Tulare,26/05/2021,8,3,11,667,2,0,17
Glenn,18/02/2021,0,0,0,47,0,0,0
Ventura,21/03/2021,55,7,62,1149,17,0,41
Mariposa,09/01/2021,0,0,0,19,0,0,0
Mariposa,19/05/2021,0,0,0,14,0,0,0
Placer,17/01/2021,152,13,165,754,23,0,18
Calaveras,21/03/2021,0,0,0,33,0,0,8
Inyo,09/10/2020,1,0,1,29,1,0,3
Lake,01/03/2021,0,0,0,63,0,0,6
Glenn,10/04/2021,0,0,0,47,0,0,0
Amador,30/04/2021,0,1,1,52,0,1,0
Orange,16/06/2020,364,65,429,6976,151,18,455
San Diego,11/06/2021,71,9,80,6456,21,0,267
Napa,29/04/2020,1,0,1,387,0,0,6
Glenn,06/06/2021,0,0,0,47,0,0,0
Orange,03/04/2021,115,25,140,5759,22,2,246
Tehama,09/07/2021,1,0,1,59,0,0,1
San Benito,03/08/2021,0,0,0,25,0,0,1
San Benito,27/10/2020,0,0,0,50,0,0,3
Sacramento,25/01/2021,371,21,392,2607,112,4,68
Imperial,22/05/2020,75,2,77,210,23,0,9
Orange,29/03/2021,143,16,159,5773,26,0,258
Inyo,23/04/2020,1,0,1,50,1,0,5
Merced,11/05/2020,7,2,9,242,4,2,7
Plumas,27/06/2020,0,0,0,45,0,0,
Los Angeles,30/07/2021,1071,108,1179,19314,231,9,561
Lassen,18/01/2021,4,0,4,25,0,0,0
Stanislaus,16/07/2021,51,9,60,1302,14,3,32
Inyo,02/07/2020,0,0,0,42,0,0,3
Contra Costa,10/02/2021,124,14,138,1316,34,0,44
San Benito,05/05/2020,0,0,0,25,0,0,2
Mono,20/06/2020,0,0,0,40,0,0,2
Contra Costa,15/09/2021,142,10,152,1375,56,0,22
Alameda,22/01/2021,406,38,444,2508,115,4,69
San Diego,29/04/2021,145,18,163,6471,36,3,236
Madera,16/12/2020,40,9,49,275,6,0,9
Alameda,17/04/2021,69,42,111,2511,20,4,100
Los Angeles,15/02/2021,2855,189,3044,19163,876,43,382
Sacramento,02/09/2020,193,29,222,2467,54,8,96
Santa Cruz,24/12/2020,67,2,69,372,17,0,5
Kern,15/05/2020,40,12,52,1721,18,0,82
Sonoma,25/07/2020,48,18,66,769,10,3,7
Trinity,01/11/2020,0,0,0,25,0,0,0
Trinity,16/11/2020,0,0,0,25,0,0,0
Trinity,11/05/2021,0,0,0,25,0,0,0
El Dorado,10/08/2021,17,0,17,190,5,0,2
Riverside,04/05/2021,72,18,90,3259,23,0,107
Tuolumne,17/06/2020,0,0,0,151,0,0,0
San Mateo,12/04/2021,18,6,24,665,3,0,25
Santa Barbara,30/11/2020,50,2,52,688,13,1,51
Madera,16/06/2020,5,3,8,528,3,0,11
Shasta,30/03/2020,1,4,,,0,0,13
Sutter,09/07/2020,0,0,0,14,0,0,
Mendocino,24/08/2021,30,0,30,94,10,0,2
Butte,01/12/2020,45,1,46,451,6,0,16
Mendocino,12/02/2021,8,0,8,84,4,0,4
San Diego,17/03/2021,259,23,282,6472,86,3,275
Modoc,30/06/2021,0,0,0,12,0,0,0
Merced,18/04/2021,10,0,10,271,2,0,12
Calaveras,25/06/2020,1,1,2,50,1,0,9
Siskiyou,16/11/2020,6,0,6,56,2,0,9
Merced,16/08/2021,34,0,34,271,14,0,4
Yolo,11/06/2020,0,1,1,186,0,0,2
Trinity,24/11/2020,0,0,0,25,0,0,0
San Luis Obispo,27/11/2020,10,0,10,460,1,0,24
Humboldt,17/07/2021,7,2,9,264,2,1,6
Santa Clara,05/11/2020,100,21,121,3014,25,2,68
Sacramento,14/05/2021,82,13,95,2600,28,2,118
Shasta,31/08/2020,2,0,2,561,1,0,7
San Benito,19/09/2021,5,0,5,25,3,0,0
Humboldt,18/07/2020,1,1,2,352,0,0,10
San Bernardino,13/05/2021,71,8,79,3518,18,2,160
San Diego,25/04/2021,152,22,174,6452,41,8,254
Santa Clara,16/10/2020,89,16,105,2928,29,1,111
San Luis Obispo,28/06/2020,8,2,10,458,2,0,38
Inyo,17/04/2021,0,0,0,29,0,0,1
Amador,26/09/2020,0,0,0,51,0,0,2
San Bernardino,26/03/2021,128,13,141,3447,33,2,147
Inyo,22/02/2021,1,0,1,29,1,0,1
San Benito,18/04/2021,1,0,1,25,0,0,1
Santa Clara,07/09/2021,216,13,229,2966,60,3,59
Yolo,12/08/2021,17,0,17,129,7,0,0
Siskiyou,21/05/2021,4,0,4,56,1,0,4
Alameda,04/02/2021,302,42,344,2520,91,4,67
San Mateo,10/08/2020,41,19,60,671,10,2,30
Solano,15/04/2021,31,8,39,557,6,0,5
Del Norte,29/07/2020,0,0,0,51,0,0,0
Tulare,20/10/2020,26,10,36,677,2,0,27
San Diego,25/08/2020,235,88,323,6631,84,16,273
Amador,27/06/2020,0,0,0,51,0,0,0
Ventura,04/02/2021,319,9,328,1232,76,1,27
Lassen,30/06/2020,0,0,0,25,0,0,
San Francisco,04/04/2021,25,8,33,2138,5,0,90
San Bernardino,10/11/2020,286,63,349,4013,79,5,105
Lake,12/08/2020,0,1,1,65,0,0,2
San Benito,17/02/2021,10,0,10,25,3,0,0
Monterey,31/01/2021,128,1,129,719,28,0,20
Humboldt,30/03/2020,1,8,,,0,0,10
Glenn,18/08/2021,0,0,0,47,0,0,0
Ventura,26/06/2020,62,38,100,1355,18,6,57
Alameda,10/04/2020,93,71,,,45,26,128
Lake,29/12/2020,7,0,7,77,3,0,1
Riverside,06/05/2021,63,35,98,3249,17,2,106
Humboldt,30/01/2021,8,7,15,276,1,3,4
Glenn,16/05/2020,0,0,0,,0,0,
Trinity,20/04/2021,0,0,0,25,0,0,0
San Luis Obispo,05/08/2020,12,5,17,477,5,1,21
San Bernardino,21/01/2021,1395,62,1457,3671,313,4,44
Sutter,17/09/2021,0,0,0,14,0,0,0
Modoc,13/08/2020,0,0,0,41,0,0,0
Yuba,14/02/2021,30,0,30,261,9,0,3
Monterey,27/04/2020,4,2,6,875,2,1,120
Stanislaus,03/05/2021,115,14,129,1295,22,3,31
Sutter,24/01/2021,0,0,0,14,0,0,0
Amador,11/05/2021,1,0,1,53,1,0,2
San Mateo,29/07/2020,64,15,79,697,16,2,14
Santa Cruz,11/04/2021,5,0,5,372,0,0,11
Sacramento,25/06/2021,58,18,76,2565,17,0,88
Imperial,13/04/2020,19,8,,,7,1,6
Placer,08/09/2021,203,7,210,773,52,0,12
Lassen,27/09/2020,0,0,0,25,0,0,0
Nevada,22/10/2020,2,3,5,120,1,0,4
Modoc,11/02/2021,1,0,1,12,0,0,0
San Mateo,15/05/2021,15,4,19,686,3,0,21
San Benito,07/12/2020,7,0,7,25,2,0,0
San Luis Obispo,28/10/2020,6,0,6,460,2,0,29
Marin,03/08/2020,23,5,28,313,5,1,12
Modoc,20/04/2020,0,0,,,0,0,
Mono,27/08/2020,0,0,0,17,0,0,2
Lassen,23/05/2020,0,0,0,25,0,0,
Stanislaus,14/02/2021,178,17,195,1303,36,1,8
Plumas,07/03/2021,0,0,0,35,0,0,0
San Diego,16/11/2020,345,57,402,6920,112,10,287
Del Norte,18/02/2021,1,2,3,52,0,0,1
Mono,08/04/2020,19,8,,,0,0,2
Modoc,06/09/2021,0,0,0,12,0,0,0
Siskiyou,23/04/2020,0,1,1,65,0,1,4
Napa,23/10/2020,1,0,1,351,0,0,23
Mariposa,01/03/2021,0,0,0,14,0,0,0
Modoc,04/10/2020,0,0,0,41,0,0,0
Madera,17/05/2021,6,6,12,278,1,0,4
Glenn,17/07/2021,0,0,0,47,0,0,0
San Mateo,26/06/2020,20,1,21,1089,8,0,55
Santa Barbara,26/08/2021,75,0,75,614,21,1,23
San Joaquin,06/05/2021,50,1,51,868,15,0,11
Modoc,13/07/2020,0,1,1,41,0,0,
San Francisco,06/08/2020,85,9,94,1820,31,1,60
Solano,30/03/2020,15,16,,,6,0,47
Sutter,13/03/2021,0,0,0,14,0,0,0
San Mateo,18/09/2021,35,8,43,682,12,2,18
San Francisco,04/05/2020,84,10,94,1887,26,0,118
Santa Barbara,02/08/2020,88,6,94,666,25,0,48
Imperial,12/02/2021,32,1,33,234,20,1,1
San Luis Obispo,27/08/2021,48,3,51,460,10,1,12
Mendocino,25/08/2021,30,1,31,90,11,0,1
Merced,20/08/2021,42,0,42,271,10,0,3
Mono,05/04/2021,0,0,0,17,0,0,2
Mono,30/06/2020,0,0,0,40,0,0,2
Humboldt,22/12/2020,6,8,14,274,2,0,13
Siskiyou,24/12/2020,5,0,5,56,1,0,9
Trinity,28/07/2020,0,0,0,25,0,0,0
Fresno,09/11/2020,112,24,136,1682,30,2,26
Placer,20/10/2020,17,21,38,764,3,4,24
Madera,01/07/2021,8,13,21,278,4,0,3
San Luis Obispo,22/03/2021,6,2,8,460,0,0,23
San Benito,12/10/2020,0,0,0,25,0,0,3
El Dorado,17/07/2021,15,0,15,190,3,0,2
Yuba,21/07/2021,12,1,13,261,1,0,12
Tulare,30/01/2021,146,4,150,649,23,1,7
Napa,08/04/2021,7,0,7,210,1,0,8
Orange,02/04/2021,109,17,126,5770,23,3,255
Sonoma,27/05/2020,9,22,31,871,3,2,51
Placer,03/10/2020,18,24,42,746,4,0,33
Lake,13/05/2020,0,0,0,110,0,1,2
Tulare,20/09/2021,161,9,170,686,26,1,11
El Dorado,16/12/2020,28,0,28,190,10,0,4
Inyo,25/09/2020,0,0,0,29,0,0,4
Madera,07/09/2021,29,5,34,278,8,0,2
San Francisco,12/04/2021,24,5,29,2141,6,2,85
San Benito,24/03/2021,2,0,2,25,2,0,1
Monterey,04/04/2021,19,0,19,720,0,0,27
Placer,13/09/2021,204,8,212,765,48,0,10
Contra Costa,10/06/2020,20,23,43,1628,10,6,111
Amador,03/07/2021,1,0,1,53,0,0,3
Amador,01/03/2021,2,0,2,52,1,0,1
Madera,30/01/2021,51,6,57,267,15,0,0
Napa,03/10/2021,12,0,12,212,6,0,5
Santa Barbara,14/07/2021,10,0,10,603,3,0,29
Calaveras,06/06/2021,2,0,2,33,0,0,5
Mono,24/05/2021,0,0,0,17,0,0,2
Glenn,20/08/2021,1,0,1,47,0,0,0
Amador,24/08/2020,4,0,4,51,0,0,4
Kern,21/11/2020,117,3,120,1312,19,0,43
Calaveras,15/06/2021,0,0,0,33,0,0,6
San Luis Obispo,07/08/2020,12,4,16,451,3,0,21
Monterey,20/12/2020,166,2,168,717,30,0,11
Butte,22/07/2021,9,0,9,451,2,0,11
Inyo,20/07/2021,0,0,0,29,0,0,2
San Benito,22/04/2020,0,0,0,25,0,0,1
Sutter,10/06/2021,0,0,0,14,0,0,0
Contra Costa,28/05/2020,13,38,51,1628,7,7,103
Plumas,17/11/2020,0,0,0,35,0,0,0
Shasta,03/11/2020,9,0,9,561,3,0,8
Marin,04/03/2021,15,4,19,318,4,0,11
Mendocino,28/04/2020,0,0,0,151,0,0,8
Sutter,02/05/2021,0,0,0,14,0,0,0
Santa Cruz,02/09/2021,16,0,16,372,3,0,3
Sacramento,15/07/2021,119,19,138,2621,27,1,75
Inyo,21/06/2020,0,0,0,42,0,0,3
San Diego,27/05/2020,329,79,408,6215,144,12,315
Imperial,21/04/2020,23,12,35,161,12,0,1
Stanislaus,09/09/2021,321,17,338,1373,75,0,12
Orange,12/09/2020,196,42,238,5767,58,5,235
Mono,11/06/2020,0,1,1,40,0,0,2
Kings,11/02/2021,65,0,65,131,10,0,1
Yolo,10/09/2021,14,0,14,135,7,0,0
Modoc,28/04/2021,0,0,0,12,0,0,0
Madera,27/03/2021,7,7,14,278,1,0,15
Los Angeles,25/04/2021,411,83,494,18803,102,11,659
Inyo,16/06/2020,0,0,0,42,0,0,2
Glenn,12/06/2020,1,0,1,47,0,0,
Orange,30/08/2020,317,61,378,5701,98,9,244
San Joaquin,15/06/2020,46,13,59,1376,18,2,16
Modoc,22/01/2021,0,0,0,12,0,0,0
Santa Clara,11/11/2020,106,15,121,3069,29,0,54
Calaveras,07/09/2020,1,1,2,33,1,0,6
Yolo,17/01/2021,28,0,28,114,12,0,1
Plumas,24/07/2020,0,0,0,42,0,0,0
Shasta,18/05/2021,11,0,11,567,1,0,19
Humboldt,22/06/2020,0,1,1,352,0,0,3
El Dorado,16/04/2021,2,0,2,190,1,0,6
Plumas,31/07/2020,0,0,0,51,0,0,0
Del Norte,12/07/2021,0,0,0,53,0,0,2
Santa Cruz,25/11/2020,32,0,32,382,9,0,1
San Mateo,15/06/2020,17,5,22,1089,6,1,50
Fresno,27/06/2021,40,20,60,1508,8,1,20
Butte,25/06/2021,7,0,7,451,1,0,11
Glenn,25/12/2020,16,1,17,47,0,0,0
Fresno,02/04/2021,109,11,120,1486,30,0,16
Ventura,04/11/2020,26,9,35,1232,12,1,34
Sutter,20/08/2021,0,0,0,14,0,0,0
Sacramento,12/06/2020,35,32,67,2474,13,8,91
Napa,27/02/2021,8,0,8,207,2,0,11
Inyo,09/08/2020,1,1,2,29,0,0,4
Mono,13/05/2020,0,0,0,17,0,0,2
Sutter,15/09/2021,0,0,0,14,0,0,0
Kern,24/07/2020,254,26,280,1343,71,3,33
San Francisco,21/11/2020,52,5,57,1896,13,2,65
Plumas,29/03/2021,0,0,0,35,0,0,0
Sonoma,23/09/2021,45,2,47,661,14,0,16
Santa Clara,12/07/2021,51,13,64,2980,11,3,106
San Joaquin,17/04/2020,23,23,,,10,3,26
Merced,29/06/2020,16,2,18,242,6,0,3
Amador,20/09/2021,10,1,11,53,5,0,1
San Bernardino,28/12/2020,1738,83,1821,4076,342,5,53
Solano,25/06/2020,25,4,29,707,7,1,45
Solano,20/04/2020,10,11,,,6,3,36
Butte,27/12/2020,84,0,84,451,17,0,3
Humboldt,02/08/2021,20,0,20,262,7,0,5
Amador,14/02/2021,7,0,7,52,1,0,0
San Luis Obispo,26/07/2020,13,4,17,471,4,0,22
Riverside,12/08/2021,479,44,523,3459,97,2,76
Santa Clara,30/03/2021,111,17,128,2975,29,2,72
San Diego,27/04/2021,153,14,167,6463,46,2,243
Tulare,09/07/2021,7,5,12,667,2,0,24
San Diego,31/10/2020,244,36,280,6958,95,5,258
San Bernardino,20/04/2020,152,200,,,60,28,150
Santa Cruz,19/02/2021,25,2,27,372,5,0,6
Shasta,25/05/2020,0,0,0,667,0,0,16
Monterey,08/04/2020,18,24,,,5,0,24
El Dorado,07/08/2020,3,0,3,189,2,0,9
Tuolumne,11/08/2020,1,0,1,84,0,0,1
Fresno,28/03/2021,121,23,144,1491,26,5,16
Kings,28/06/2020,53,1,54,199,6,0,1
Fresno,01/05/2020,44,28,72,2004,18,3,77
San Benito,02/06/2021,0,0,0,25,0,0,1
San Joaquin,08/04/2021,53,7,60,883,12,3,7
Inyo,09/01/2021,6,0,6,29,1,0,3
Riverside,27/08/2021,670,42,712,3505,138,3,49
Shasta,09/09/2020,3,0,3,561,1,0,5
Santa Barbara,27/06/2021,10,1,11,603,5,0,46
El Dorado,13/05/2020,0,2,2,199,0,0,11
Los Angeles,17/04/2020,1720,634,,,594,105,593
Amador,02/02/2021,8,0,8,52,5,0,1
Marin,31/01/2021,29,3,32,344,6,0,13
Tulare,27/04/2020,29,0,329,898,7,0,27
San Francisco,25/07/2021,60,8,68,2147,21,0,97
Contra Costa,11/08/2020,95,27,122,1449,34,3,47
San Bernardino,13/08/2020,481,70,551,3947,155,7,152
Contra Costa,31/05/2020,11,32,43,1628,6,6,94
Nevada,16/08/2020,1,1,2,108,0,0,4
Placer,05/05/2020,11,13,24,753,2,0,80
Siskiyou,06/07/2021,0,0,0,56,0,0,8
Merced,19/06/2020,9,1,10,242,3,0,5
San Benito,11/09/2021,7,0,7,25,3,0,0
Santa Cruz,24/09/2020,18,0,18,276,3,0,9
El Dorado,29/04/2020,0,4,4,156,0,2,6
San Diego,10/07/2020,411,79,490,6687,159,14,313
Napa,05/01/2021,25,0,25,254,16,0,41
San Mateo,18/05/2021,13,7,20,690,4,1,13
